Mesa;X;Y
Mesa 1;1169;390
Mesa 2;1325;390
Mesa 3;1471;390
Mesa 4;1602;390
Mesa 5;1733;390
Mesa 6;1864;390
Mesa 7;1971;390
Mesa 8;1075;490
Mesa 9;1169;490
Mesa 10;1325;490
Mesa 11;1471;490
Mesa 12;1602;490
Mesa 13;1733;490
Mesa 14;1864;490
Mesa 15;1971;490
Mesa 16;1075;595
Mesa 17;1169;598
Mesa 18;1325;598
Mesa 19;1471;598
Mesa 20;1602;598
Mesa 21;1733;598
Mesa 22;1864;598
Mesa 23;1971;598
Mesa 24;1075;694
Mesa 25;1169;701
Mesa 26;1325;701
Mesa 27;1471;701
Mesa 28;1602;701
Mesa 29;1733;701
Mesa 30;1864;701
